distance,max_error,xor_encoding_method,base_len,build_time,check_time,sat
3,1,chain_tseitin,2,0.0031211376190185547,6.341934204101562e-05,False
3,2,chain_tseitin,2,0.001720428466796875,0.00017762184143066406,True
5,3,chain_tseitin,2,0.048134565353393555,0.0029048919677734375,False
5,4,chain_tseitin,2,0.04456448554992676,0.009100914001464844,True
7,4,chain_tseitin,2,0.42679262161254883,0.11785721778869629,False
7,5,chain_tseitin,2,0.39971256256103516,0.19687962532043457,True
9,6,chain_tseitin,2,2.146806478500366,8.247069358825684,False
9,7,chain_tseitin,2,2.021533489227295,1.3010332584381104,True
11,7,chain_tseitin,2,7.517428636550903,52.74179935455322,False
11,8,chain_tseitin,2,7.1710004806518555,43.03850841522217,True
13,9,chain_tseitin,2,22.315718173980713,1851.3245329856873,False
13,10,chain_tseitin,2,22.671502113342285,104.12944912910461,True
3,1,chain_tseitin,3,0.007807254791259766,9.179115295410156e-05,False
3,2,chain_tseitin,3,0.0029006004333496094,0.00026607513427734375,True
5,3,chain_tseitin,3,0.062058448791503906,0.00438690185546875,False
5,4,chain_tseitin,3,0.06036043167114258,0.012005805969238281,True
7,4,chain_tseitin,3,0.4518747329711914,0.13467788696289062,False
7,5,chain_tseitin,3,0.44426941871643066,0.23220586776733398,True
9,6,chain_tseitin,3,2.112225294113159,8.841139316558838,False
9,7,chain_tseitin,3,2.1056511402130127,1.3593010902404785,True
11,7,chain_tseitin,3,7.492685794830322,55.30524039268494,False
11,8,chain_tseitin,3,7.423668384552002,44.92716026306152,True
13,9,chain_tseitin,3,22.517497777938843,1889.0035617351532,False
13,10,chain_tseitin,3,22.47040104866028,105.83965134620667,True
3,1,tree_tseitin,2,0.008964061737060547,8.845329284667969e-05,False
3,2,tree_tseitin,2,0.0036623477935791016,0.00027942657470703125,True
5,3,tree_tseitin,2,0.06609320640563965,0.004134654998779297,False
5,4,tree_tseitin,2,0.06537961959838867,0.0072939395904541016,True
7,4,tree_tseitin,2,0.4952356815338135,0.1517488956451416,False
7,5,tree_tseitin,2,0.49305081367492676,0.3676605224609375,True
9,6,tree_tseitin,2,2.160529851913452,9.346840858459473,False
9,7,tree_tseitin,2,2.1716322898864746,1.0670173168182373,True
11,7,tree_tseitin,2,7.688352584838867,60.24840497970581,False
11,8,tree_tseitin,2,7.512460470199585,51.97205877304077,True
13,9,tree_tseitin,2,22.689597368240356,2595.7360079288483,False
13,10,tree_tseitin,2,22.81422996520996,159.0721037387848,True
3,1,tree_tseitin,3,0.009757041931152344,9.107589721679688e-05,False
3,2,tree_tseitin,3,0.0034263134002685547,0.0002772808074951172,True
5,3,tree_tseitin,3,0.08060264587402344,0.004369497299194336,False
5,4,tree_tseitin,3,0.21006989479064941,0.007688283920288086,True
7,4,tree_tseitin,3,0.5562541484832764,0.1744556427001953,False
7,5,tree_tseitin,3,0.5635366439819336,0.42903804779052734,True
9,6,tree_tseitin,3,2.2490198612213135,9.583243131637573,False
9,7,tree_tseitin,3,2.2646286487579346,1.1190495491027832,True
11,7,tree_tseitin,3,7.7116379737854,60.85678791999817,False
11,8,tree_tseitin,3,7.7457287311553955,52.71839380264282,True
13,9,tree_tseitin,3,22.85466718673706,2617.0500144958496,False
13,10,tree_tseitin,3,22.962424516677856,161.31804823875427,True
